image_path,label
plantGuard_dataset/images/Tomato___Target_Spot/288cba9f-a197-4d74-bb50-2367dd752eae.JPG,Tomato___Target_Spot
plantGuard_dataset/images/Potato___Late_blight/dbbec9d0-dcdb-46ff-9eb5-9c222b9b212c.JPG,Potato___Late_blight
plantGuard_dataset/images/Soybean___healthy/c225a5ed-d7bb-4b6d-9c8b-7e0d8b517adf.JPG,Soybean___healthy
plantGuard_dataset/images/Grape___Esca_(Black_Measles)/c3c3650d-c5e4-4da5-ab06-f384bda13ebb.JPG,Grape___Esca_(Black_Measles)
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/0d3fca26-e193-4548-9e81-c21f79116df1.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Tomato___Spider_mites Two-spotted_spider_mite/79da5a73-d617-4c61-9d35-51c4808988a3.JPG,Tomato___Spider_mites Two-spotted_spider_mite
plantGuard_dataset/images/Tomato___Bacterial_spot/ebc1dd3e-0ef8-49c5-a768-a21955e36fcd.JPG,Tomato___Bacterial_spot
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/bba5a183-f74c-4b65-9f72-b8b38f4fc651.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Tomato___healthy/95bcbad0-9d36-4ca4-8eed-7a40536dab8d.JPG,Tomato___healthy
plantGuard_dataset/images/Corn_(maize)___Common_rust_/14973524-5cdc-4cca-bf9c-07059c229d36.JPG,Corn_(maize)___Common_rust_
plantGuard_dataset/images/Tomato___Early_blight/1a1f0cba-22ee-4eda-a208-f70a5a2374eb.JPG,Tomato___Early_blight
plantGuard_dataset/images/Tomato___Late_blight/2075a45d-af06-40e5-acc8-fdc273f089e8.JPG,Tomato___Late_blight
plantGuard_dataset/images/Squash___Powdery_mildew/15bd30d1-931f-4115-8a07-c461401899f6.JPG,Squash___Powdery_mildew
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/0c2de854-7230-443e-8298-61ccbc7c8713.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Corn_(maize)___healthy/f77c95e2-8760-417f-bcc2-2a3ec71177e5.JPG,Corn_(maize)___healthy
plantGuard_dataset/images/Peach___Bacterial_spot/c5fee15b-6b2e-47f1-b58a-997d552db9e2.JPG,Peach___Bacterial_spot
plantGuard_dataset/images/Potato___Early_blight/3c0c80df-b1c5-44d8-b8e9-8d295082b360.JPG,Potato___Early_blight
plantGuard_dataset/images/Blueberry___healthy/e40e883e-2c52-46f7-8afa-b09b728c933b.JPG,Blueberry___healthy
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/56b7721e-df12-4758-800d-49a8cab19f12.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Grape___Esca_(Black_Measles)/85beab30-8d37-42f0-947f-442a9330f866.JPG,Grape___Esca_(Black_Measles)
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/0df35544-2e14-4f7a-960e-3dfbc3db3122.JPG,Orange___Haunglongbing_(Citrus_greening)
"plantGuard_dataset/images/Pepper,_bell___healthy/982b82a1-95ee-4c38-9bcd-767efa0eded6.JPG","Pepper,_bell___healthy"
plantGuard_dataset/images/Tomato___healthy/c88eac39-26d6-4685-8870-513c1335b57a.JPG,Tomato___healthy
plantGuard_dataset/images/Tomato___Bacterial_spot/d1c52add-f36a-4cc6-be35-6a8e3a9a3b0d.JPG,Tomato___Bacterial_spot
plantGuard_dataset/images/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/2e040fb5-e910-48e5-bfba-939d44678a99.JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
plantGuard_dataset/images/Grape___healthy/3b8c22e9-8e5e-427c-99ae-dbf08e0d47b5.JPG,Grape___healthy
plantGuard_dataset/images/Apple___healthy/02d2a5ba-df18-47d3-8980-72b357d39ba4.JPG,Apple___healthy
plantGuard_dataset/images/Tomato___healthy/f9cd859b-0a8e-4fb4-8622-3749a75910d4.JPG,Tomato___healthy
plantGuard_dataset/images/Peach___Bacterial_spot/3864ca25-afcb-4ab8-9d2b-ca3cd86fe0cc.JPG,Peach___Bacterial_spot
plantGuard_dataset/images/Tomato___Late_blight/82c0756f-e5d9-4357-a881-085fa81d28a5.JPG,Tomato___Late_blight
plantGuard_dataset/images/Potato___Early_blight/49cb0d05-28f4-4e1e-84b7-fdf8e37fad0c.JPG,Potato___Early_blight
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/0040853c-2bfc-44e8-bf14-0c4c8bbbb3df.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Soybean___healthy/5a74d276-8903-47a3-a4d7-d7eb0ff562a4.JPG,Soybean___healthy
plantGuard_dataset/images/Potato___Early_blight/94f66936-edec-44e7-9c73-27947adc83d7.JPG,Potato___Early_blight
plantGuard_dataset/images/Tomato___Late_blight/f1d82fc9-0fee-4583-846c-1cd0aeffd2b4.JPG,Tomato___Late_blight
"plantGuard_dataset/images/Pepper,_bell___healthy/70dd8da0-1246-4f0a-ace5-92f80dab4fe5.JPG","Pepper,_bell___healthy"
plantGuard_dataset/images/Grape___healthy/4424c870-41dc-4cc0-ab12-04a065e07183.JPG,Grape___healthy
plantGuard_dataset/images/Cherry_(including_sour)___Powdery_mildew/db7b47c3-b536-41bd-bccb-651e914cab82.JPG,Cherry_(including_sour)___Powdery_mildew
plantGuard_dataset/images/Tomato___Late_blight/a6c8ca88-d0ec-4d51-8b3e-161f20c1c19f.JPG,Tomato___Late_blight
plantGuard_dataset/images/Tomato___Spider_mites Two-spotted_spider_mite/8446d1e4-0a0f-42a1-bf6b-0162d00eef55.JPG,Tomato___Spider_mites Two-spotted_spider_mite
plantGuard_dataset/images/Potato___Late_blight/bf2b86f5-4938-49f5-96fe-b3a7676890cb.JPG,Potato___Late_blight
plantGuard_dataset/images/Apple___Apple_scab/93ab0fe7-1b69-45db-8257-44b8be7e3466.JPG,Apple___Apple_scab
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/aad49733-3c33-47ac-bb53-ef57dba17db5.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Strawberry___Leaf_scorch/92307c46-3c5b-4a50-aaf2-dcc177559e11.JPG,Strawberry___Leaf_scorch
plantGuard_dataset/images/Blueberry___healthy/b509abbf-645f-4427-a86a-a6164fed1da4.JPG,Blueberry___healthy
plantGuard_dataset/images/Tomato___Bacterial_spot/35ce9d7a-2a85-47de-8fe1-72def12bf1ee.JPG,Tomato___Bacterial_spot
plantGuard_dataset/images/Potato___Late_blight/43771e7f-bc35-4c47-8da0-607c8a144fb5.JPG,Potato___Late_blight
plantGuard_dataset/images/Tomato___Spider_mites Two-spotted_spider_mite/5fb71735-b523-4e5a-b5e0-698292be39af.JPG,Tomato___Spider_mites Two-spotted_spider_mite
plantGuard_dataset/images/Tomato___Bacterial_spot/ad91c8a1-3b1c-4fd5-ada1-133586430c28.JPG,Tomato___Bacterial_spot
plantGuard_dataset/images/Tomato___Target_Spot/95e88042-7dc4-4fb6-9cec-d39892332177.JPG,Tomato___Target_Spot
plantGuard_dataset/images/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/0a0dac4d-a8fd-41f6-a49e-7c4fe25cec45.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
plantGuard_dataset/images/Grape___Esca_(Black_Measles)/47aa5b95-1e66-4cfa-9d04-87235102053b.JPG,Grape___Esca_(Black_Measles)
plantGuard_dataset/images/Apple___Apple_scab/03a97c43-a394-4a4a-88c9-5631e558a58c.JPG,Apple___Apple_scab
plantGuard_dataset/images/Apple___Black_rot/3bdfc9ba-5538-45c4-83b8-be4e90371134.JPG,Apple___Black_rot
plantGuard_dataset/images/Cherry_(including_sour)___Powdery_mildew/59cbcc0e-0883-4e78-a7f1-5adb85bd512f.JPG,Cherry_(including_sour)___Powdery_mildew
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/0a224a96-2cf1-4b82-bf8e-b3f8695927f6.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Corn_(maize)___Common_rust_/33092fa2-04e9-4927-a1dc-500ce2d0e698.JPG,Corn_(maize)___Common_rust_
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/9395ac5c-48e0-4a6b-b155-a2994526b29b.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Tomato___Septoria_leaf_spot/27f43618-f8c7-4e12-9011-60204554b721.JPG,Tomato___Septoria_leaf_spot
plantGuard_dataset/images/Peach___Bacterial_spot/a8adae9b-9863-485c-bfb2-935e8fe5eabe.JPG,Peach___Bacterial_spot
plantGuard_dataset/images/Soybean___healthy/8e90c775-6b9d-4076-bbc1-7efcb8dcc4a4.JPG,Soybean___healthy
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/6bf36583-c40b-4a5b-8ffe-7b7a01fa7631.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Potato___Early_blight/2932ef7b-ce28-48f1-89ef-705c8769c3c6.JPG,Potato___Early_blight
plantGuard_dataset/images/Tomato___Spider_mites Two-spotted_spider_mite/93a4eb2e-e7b9-4179-8d24-8e1946735abe.JPG,Tomato___Spider_mites Two-spotted_spider_mite
plantGuard_dataset/images/Tomato___Late_blight/c7bc3820-45a8-4661-9b8d-adce0c002232.JPG,Tomato___Late_blight
plantGuard_dataset/images/Cherry_(including_sour)___Powdery_mildew/393290bd-a890-4a47-917e-e0ffa527ec39.JPG,Cherry_(including_sour)___Powdery_mildew
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/ff38e009-115b-43ae-a433-43c7ad979f5f.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Tomato___Septoria_leaf_spot/4b983c49-f8c5-40aa-918f-12dc60a6b631.JPG,Tomato___Septoria_leaf_spot
plantGuard_dataset/images/Soybean___healthy/781cfd20-0340-4139-92f9-d72b4770f49f.JPG,Soybean___healthy
plantGuard_dataset/images/Corn_(maize)___Northern_Leaf_Blight/0fd3a53e-df29-471d-adc4-bdad67fb2e37.JPG,Corn_(maize)___Northern_Leaf_Blight
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/d3c432ae-0f84-4303-9244-60d8ce415120.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Soybean___healthy/02345450-654a-4068-a9bf-87111ae1e8f7.JPG,Soybean___healthy
"plantGuard_dataset/images/Pepper,_bell___Bacterial_spot/309644bb-a5d4-4e56-a561-7e14f726bd99.JPG","Pepper,_bell___Bacterial_spot"
plantGuard_dataset/images/Grape___Esca_(Black_Measles)/7f867acf-5274-4d71-9496-adcd16e39452.JPG,Grape___Esca_(Black_Measles)
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/a7818b10-652a-4bae-9fcd-5bba8e6fca49.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Potato___Late_blight/b4f12f3e-4af7-4d5a-b69d-4ae654118a05.JPG,Potato___Late_blight
plantGuard_dataset/images/Cherry_(including_sour)___healthy/2f3f8f67-1dca-4b3b-ae23-7c571bca55a9.JPG,Cherry_(including_sour)___healthy
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/8e5e339d-fa1e-4345-a725-d49f42b50ba8.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Peach___Bacterial_spot/c20c3e90-1497-4acc-82a7-2252d8c42fac.JPG,Peach___Bacterial_spot
plantGuard_dataset/images/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/c99150f2-ffb6-4572-9dfa-9957dfc22d91.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/a59b0a71-ee99-4b33-acb6-6a1fb73dc074.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Tomato___Septoria_leaf_spot/e2159f16-b940-4bab-891e-99f3593e69f1.JPG,Tomato___Septoria_leaf_spot
plantGuard_dataset/images/Tomato___Early_blight/ab0cdabb-0b64-456a-ae22-88cf8210cfe3.JPG,Tomato___Early_blight
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/e40cc64d-b23a-4529-849a-64f45c901f8f.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Potato___Early_blight/a43d004c-4dd5-4ede-bbcd-ef4bb4ea705f.JPG,Potato___Early_blight
plantGuard_dataset/images/Soybean___healthy/7020d38c-7c76-4b75-8e24-df33c8582795.JPG,Soybean___healthy
plantGuard_dataset/images/Grape___Black_rot/995b23f2-ad33-4c11-9011-e561c07ea3fb.JPG,Grape___Black_rot
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/fe249067-7fb6-4834-b489-33c24b4fcc51.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Apple___Cedar_apple_rust/801e9028-dfcd-4d81-b0ae-e4d8207324a7.JPG,Apple___Cedar_apple_rust
plantGuard_dataset/images/Tomato___Spider_mites Two-spotted_spider_mite/cc782fdb-dcfd-45db-84f3-814ce19fdf3f.JPG,Tomato___Spider_mites Two-spotted_spider_mite
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/ae59ea31-85b0-42e0-86ad-debf7ed522e4.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Cherry_(including_sour)___healthy/6adfedfb-b04e-4815-b8e4-98356e59d32e.JPG,Cherry_(including_sour)___healthy
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/e7442270-b5db-43c2-ad84-fd33b8fef699.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Tomato___Tomato_mosaic_virus/34727b44-2157-4344-a8db-349420545806.JPG,Tomato___Tomato_mosaic_virus
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/b2e7048e-6560-458b-8139-b70bd534e640.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/5a4568b4-b976-452b-8185-8bceabdc2112.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/660572b2-258b-455b-8759-3436a4166d4e.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/b0abf65c-5d4b-4727-9632-a81a03d0ec20.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Cherry_(including_sour)___Powdery_mildew/c93c18db-f21d-460e-a7cd-a301c52250fe.JPG,Cherry_(including_sour)___Powdery_mildew
plantGuard_dataset/images/Tomato___Spider_mites Two-spotted_spider_mite/1025899f-60f8-45ed-ace4-f152837a0269.JPG,Tomato___Spider_mites Two-spotted_spider_mite
plantGuard_dataset/images/Potato___healthy/17cec8e8-a59e-4c48-b1b1-ed7a80316c30.JPG,Potato___healthy
"plantGuard_dataset/images/Pepper,_bell___healthy/5fd2573a-d803-4b82-bc46-89654bc64fe6.JPG","Pepper,_bell___healthy"
plantGuard_dataset/images/Grape___Esca_(Black_Measles)/fbeb74e2-e2d1-4acb-9f3e-730125124b9c.JPG,Grape___Esca_(Black_Measles)
"plantGuard_dataset/images/Pepper,_bell___healthy/6b386de7-835a-4ac5-bd21-908cb23d478e.JPG","Pepper,_bell___healthy"
plantGuard_dataset/images/Grape___Black_rot/3f5f7507-0023-47ce-b308-0f6ca9094577.JPG,Grape___Black_rot
plantGuard_dataset/images/Apple___Apple_scab/7deca1a1-74c6-4c97-985a-5bd60220f758.JPG,Apple___Apple_scab
plantGuard_dataset/images/Grape___healthy/96a9f8b6-92e2-419c-950e-b10fe8af3e66.JPG,Grape___healthy
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/38c2ee00-928c-4ede-bda6-ea9c33b9d2d0.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Grape___Black_rot/9a57dc2b-d18e-42e3-9a09-26e83d315125.JPG,Grape___Black_rot
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/074b6841-23fd-4778-8e91-ec7143ec00fb.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Peach___Bacterial_spot/6e9f7a15-8275-4043-9a41-7c5ee90022c5.JPG,Peach___Bacterial_spot
plantGuard_dataset/images/Corn_(maize)___Common_rust_/794c2df8-1b97-477d-ad8f-3bb8a1c5c0a9.JPG,Corn_(maize)___Common_rust_
plantGuard_dataset/images/Strawberry___healthy/e30b76c6-9124-41ca-bcf3-158d12eb6002.JPG,Strawberry___healthy
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/f576d490-a2da-4dbb-a6a7-42032a1ad85a.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Tomato___Spider_mites Two-spotted_spider_mite/b09ff99b-ce28-414b-ab3e-aa4a6a81ab05.JPG,Tomato___Spider_mites Two-spotted_spider_mite
plantGuard_dataset/images/Tomato___healthy/18f07fcd-2d7d-41f5-b9ba-85d590256787.JPG,Tomato___healthy
plantGuard_dataset/images/Grape___Esca_(Black_Measles)/6b42723e-5f01-41f1-9886-ebda2c5e758b.JPG,Grape___Esca_(Black_Measles)
plantGuard_dataset/images/Tomato___Septoria_leaf_spot/5c977c92-228a-44b5-a078-95b58a16d97f.JPG,Tomato___Septoria_leaf_spot
plantGuard_dataset/images/Grape___Esca_(Black_Measles)/52618cb9-efbf-4c7c-b231-477a740edeca.JPG,Grape___Esca_(Black_Measles)
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/99341c6b-8c19-4a65-a34b-a516d14ac3fc.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Tomato___Septoria_leaf_spot/80d34abd-e5e1-4467-b489-c64f05dfac82.JPG,Tomato___Septoria_leaf_spot
plantGuard_dataset/images/Apple___healthy/c3f37ad8-4a9d-4d72-8bfd-904699a9a557.JPG,Apple___healthy
plantGuard_dataset/images/Squash___Powdery_mildew/066c53da-0a7c-48a6-82fb-ce7d954189d0.JPG,Squash___Powdery_mildew
plantGuard_dataset/images/Peach___Bacterial_spot/1fc17f58-0cec-49e7-b9c8-dced6b1b6301.JPG,Peach___Bacterial_spot
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/d4cf5dfd-cc67-409c-a246-c5d14efea6b3.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Corn_(maize)___Common_rust_/52b63f0a-4986-4382-a077-659e7ef8c41a.JPG,Corn_(maize)___Common_rust_
plantGuard_dataset/images/Tomato___Septoria_leaf_spot/f29073e5-d6aa-4557-aa27-14372492b2f2.JPG,Tomato___Septoria_leaf_spot
plantGuard_dataset/images/Apple___healthy/115917cf-fcfc-4b7f-a1d6-aba124a1303c.JPG,Apple___healthy
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/8c47bc77-3d62-41d7-846a-e608e97f86c9.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Tomato___Bacterial_spot/5c2dc327-26f0-42b3-a514-8ceb2144921d.JPG,Tomato___Bacterial_spot
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/81c7a17f-1efc-4205-a48c-8523bfd704bb.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Tomato___Leaf_Mold/126012ae-1f80-4d07-be5f-4d08565b1d3b.JPG,Tomato___Leaf_Mold
plantGuard_dataset/images/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/e242a8dd-917f-4196-b4d2-0e51e684571c.JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
plantGuard_dataset/images/Tomato___healthy/a0ceff2b-2a78-457f-ae6a-4c33c81ef6a3.JPG,Tomato___healthy
plantGuard_dataset/images/Peach___Bacterial_spot/36780c00-2995-40ad-971f-5abeecf51ed5.JPG,Peach___Bacterial_spot
"plantGuard_dataset/images/Pepper,_bell___healthy/8753034b-5ab0-481e-acb5-9b3852142300.JPG","Pepper,_bell___healthy"
plantGuard_dataset/images/Soybean___healthy/10a8db77-f9d7-4ae8-8580-af325bf4f9f5.JPG,Soybean___healthy
plantGuard_dataset/images/Squash___Powdery_mildew/749258df-20c2-4bfc-a1f6-236a72af06d1.JPG,Squash___Powdery_mildew
plantGuard_dataset/images/Peach___Bacterial_spot/31357214-76bf-4a60-ae28-9dee434396b9.JPG,Peach___Bacterial_spot
plantGuard_dataset/images/Tomato___Leaf_Mold/4a14e2c2-4c10-4dde-b271-ec2973fd7703.JPG,Tomato___Leaf_Mold
plantGuard_dataset/images/Soybean___healthy/6830b814-a201-4917-a55d-5a9ed451936b.JPG,Soybean___healthy
plantGuard_dataset/images/Corn_(maize)___Northern_Leaf_Blight/3d058a24-b087-4551-9eb9-e64a71238f70.JPG,Corn_(maize)___Northern_Leaf_Blight
plantGuard_dataset/images/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/bb2db29a-b694-4250-9f20-a09a9527fd09.JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
plantGuard_dataset/images/Soybean___healthy/ea3786dd-c299-4cb5-b588-fb92cdba9840.JPG,Soybean___healthy
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/4ccbbc01-7f2a-446b-b5c7-683f0ede0d91.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
"plantGuard_dataset/images/Pepper,_bell___healthy/695519ec-575b-4d1d-8b3d-cb896df85024.JPG","Pepper,_bell___healthy"
"plantGuard_dataset/images/Pepper,_bell___Bacterial_spot/09fa4949-a9d3-431c-b469-0eced375e444.JPG","Pepper,_bell___Bacterial_spot"
plantGuard_dataset/images/Tomato___Late_blight/29db0fae-676e-4616-9eb8-9a8854ed2cb0.JPG,Tomato___Late_blight
plantGuard_dataset/images/Apple___Apple_scab/f758aff6-f65e-4e26-9e94-ed3c9367be1d.JPG,Apple___Apple_scab
plantGuard_dataset/images/Grape___Black_rot/06d0a464-8a4e-476b-b2ad-feda64f656f9.JPG,Grape___Black_rot
plantGuard_dataset/images/Soybean___healthy/b7bd34a6-2e59-4634-afd7-9b33f7d87d43.JPG,Soybean___healthy
plantGuard_dataset/images/Tomato___Spider_mites Two-spotted_spider_mite/0a6e7d72-83c1-416c-88cd-be4f5802c8a4.JPG,Tomato___Spider_mites Two-spotted_spider_mite
plantGuard_dataset/images/Blueberry___healthy/eb34ae68-8b81-41b2-8ef4-700b6a8cae27.JPG,Blueberry___healthy
plantGuard_dataset/images/Tomato___Leaf_Mold/b04e9c2a-c894-4598-b72e-81ef4c68335d.JPG,Tomato___Leaf_Mold
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/8e9e2c06-b186-4659-8d9b-3103d7736e64.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Potato___Early_blight/828fedeb-940d-4718-b0d9-d6e623082c68.JPG,Potato___Early_blight
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/01d92415-3c02-4bd1-ba56-ae9a9dc2dd5d.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Corn_(maize)___Common_rust_/9fa5f791-956e-4b78-a1a7-4bc32400a592.JPG,Corn_(maize)___Common_rust_
plantGuard_dataset/images/Blueberry___healthy/4d102ebd-30ac-417a-af92-2742a4bb377b.JPG,Blueberry___healthy
plantGuard_dataset/images/Grape___Esca_(Black_Measles)/f75d708f-5be7-4299-988e-e8bc421004ef.JPG,Grape___Esca_(Black_Measles)
plantGuard_dataset/images/Tomato___Target_Spot/af52ee62-bce5-4f23-a201-d5d331eb6c7b.JPG,Tomato___Target_Spot
plantGuard_dataset/images/Blueberry___healthy/e509f721-293d-4c6f-884c-d33ecb4949cd.JPG,Blueberry___healthy
plantGuard_dataset/images/Raspberry___healthy/82a450b6-f058-4604-a687-5333f3592a44.JPG,Raspberry___healthy
plantGuard_dataset/images/Squash___Powdery_mildew/bd425657-016a-4492-831b-e52e519680b1.JPG,Squash___Powdery_mildew
plantGuard_dataset/images/Tomato___Early_blight/c52e1cdb-0941-4bdb-81b5-e6b3bd72d798.JPG,Tomato___Early_blight
plantGuard_dataset/images/Soybean___healthy/11fc0573-3cb2-4173-b1fb-7d1caab5bc71.JPG,Soybean___healthy
plantGuard_dataset/images/Corn_(maize)___Northern_Leaf_Blight/11e761bd-c7f9-42ef-8dee-4961e4fbe31d.JPG,Corn_(maize)___Northern_Leaf_Blight
plantGuard_dataset/images/Apple___Apple_scab/4d41a9f6-915a-4164-a87d-d4826bc1eeed.JPG,Apple___Apple_scab
plantGuard_dataset/images/Tomato___Early_blight/a2e1ef13-498c-47a3-b7a9-815c30f35c89.JPG,Tomato___Early_blight
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/51568818-b31f-459c-b8f9-ba59e5008c58.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Soybean___healthy/deff6712-af44-42c8-bee0-ba8ba9442b07.JPG,Soybean___healthy
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/55bb9cdb-337c-485d-8382-8f82279e28c7.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Soybean___healthy/881ce09f-4790-4a6d-8acd-0f0d757af6c4.JPG,Soybean___healthy
"plantGuard_dataset/images/Pepper,_bell___healthy/f0b90f34-7644-41a1-b323-6b98b1c7161f.JPG","Pepper,_bell___healthy"
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/c20619a5-6036-4ee7-9e01-2f8fa6c75995.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/947fbb44-71c8-432b-99e2-6a3e788e53aa.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Orange___Haunglongbing_(Citrus_greening)/3722dd0c-437d-4fea-bf65-170da438a897.JPG,Orange___Haunglongbing_(Citrus_greening)
plantGuard_dataset/images/Corn_(maize)___healthy/2ad6f611-e35c-441a-92e2-e0e12e250787.JPG,Corn_(maize)___healthy
"plantGuard_dataset/images/Pepper,_bell___healthy/11b0c076-8fd8-4ca5-9f27-0bf313fd7b76.JPG","Pepper,_bell___healthy"
plantGuard_dataset/images/Tomato___Tomato_Yellow_Leaf_Curl_Virus/b58f99b4-55f9-4f34-8cfd-f248109ad5b1.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plantGuard_dataset/images/Potato___Early_blight/c38773b7-b31d-4ca1-8d17-924ffff19397.JPG,Potato___Early_blight
plantGuard_dataset/images/Tomato___Spider_mites Two-spotted_spider_mite/692da354-28cb-4469-a5cb-85127267ce4f.JPG,Tomato___Spider_mites Two-spotted_spider_mite
plantGuard_dataset/images/Soybean___healthy/0215fe8a-fbde-421d-9c54-3ee3f7dba812.JPG,Soybean___healthy
plantGuard_dataset/images/Peach___Bacterial_spot/e03859c3-6a64-4e33-9c9a-ee3f105acff1.JPG,Peach___Bacterial_spot
